Metropolitan/Nonmetropolitan,County,"Violent
crime","Property
crime"
Metropolitan Counties,Arapahoe,350,"1,865"
,Boulder,78,672
,Clear Creek,24,56
,Douglas,366,"2,489"
,Elbert,19,3
,El Paso,588,"2,368"
,Gilpin,36,86
,Larimer,153,903
,Mesa,146,"1,017"
,Pueblo,52,"1,116"
,Teller,31,104
,Weld,155,716
Nonmetropolitan Counties,Archuleta,49,94
,Baca,3,2
,Bent,32,187
,Chaffee,11,60
,Cheyenne,0,1
,Conejos,5,31
,Crowley,11,42
,Custer,19,69
,Delta,34,193
,Dolores,1,24
,Fremont,44,265
,Garfield,63,209
,Grand,9,47
,Gunnison,8,25
,Hinsdale,1,4
,Huerfano,20,119
,Jackson,1,5
,Kit Carson,7,41
,Lake,11,36
,La Plata,76,202
,Logan,13,91
,Mineral,1,0
,Moffat,4,28
,Montezuma,29,130
,Montrose,24,215
,Morgan,42,83
,Otero,4,104
,Pitkin,4,39
,Prowers,5,7
,Routt,13,45
,San Juan,1,3
,San Miguel,3,3
,Sedgwick,0,5
,Washington,2,56
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,
