County,Affiliated Party Color
Adams,Blue
Alamosa,Blue
Arapahoe,Blue
Archuleta,Purple
Baca,Red
Bent,Purple
Boulder,Blue
Broomfield,Blue
Chaffee,Purple
Cheyenne,Red
Clear Creek,Blue
Conejos,Blue
Costilla,Blue
Crowley,Red
Custer,Red
Delta,Red
Denver,Blue
Dolores,Red
Douglas,Purple
Eagle,Blue
El Paso,Purple
Elbert,Red
Fremont,Red
Garfield,Purple
Gilpin,Blue
Grand,Purple
Gunnison,Blue
Hinsdale,Purple
Huerfano,Blue
Jackson,Red
Jefferson,Blue
Kiowa,Red
Kit Carson,Red
La Plata,Blue
Lake,Blue
Larimer,Blue
Las Animas,Purple
Lincoln,Red
Logan,Red
Mesa,Red
Mineral,Purple
Moffat,Red
Montezuma,Purple
Montrose,Red
Morgan,Red
Otero,Purple
Ouray,Blue
Park,Purple
Phillips,Red
Pitkin,Blue
Prowers,Red
Pueblo,Blue
Rio Blanco,Red
Rio Grande,Purple
Routt,Blue
Saguache,Blue
San Juan,Blue
San Miguel,Blue
Sedgwick,Red
Summit,Blue
Teller,Red
Washington,Red
Weld,Purple
Yuma,Red
