table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Colorado: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colorado,"5,029,196","5,029,319","5,047,349","5,121,108","5,192,647","5,269,035","5,350,101","5,450,623","5,539,215","5,611,885","5,691,287","5,758,736"
".Adams County, Colorado","441,603","441,697","443,691","452,201","460,558","469,978","479,946","490,443","497,734","503,590","511,354","517,421"
".Alamosa County, Colorado","15,445","15,440","15,515","15,709","15,680","15,787","15,803","15,894","16,053","16,108","16,248","16,233"
".Arapahoe County, Colorado","572,003","572,118","574,747","585,968","596,500","608,467","619,034","630,984","638,950","644,478","651,797","656,590"
".Archuleta County, Colorado","12,084","12,084","12,046","12,021","12,132","12,216","12,231","12,387","12,825","13,295","13,730","14,029"
".Baca County, Colorado","3,788","3,787","3,807","3,778","3,722","3,656","3,587","3,555","3,530","3,554","3,584","3,581"
".Bent County, Colorado","6,499","6,499","6,500","6,424","5,848","5,761","5,820","5,889","5,833","5,827","5,808","5,577"
".Boulder County, Colorado","294,567","294,560","295,037","299,957","304,570","309,323","312,233","318,027","321,250","322,441","324,636","326,196"
".Broomfield County, Colorado","55,889","55,861","56,226","57,493","58,971","60,149","61,764","64,866","66,513","68,263","69,324","70,465"
".Chaffee County, Colorado","17,809","17,809","17,808","18,028","18,154","18,355","18,451","18,612","19,110","19,666","20,041","20,356"
".Cheyenne County, Colorado","1,836","1,833","1,833","1,863","1,872","1,879","1,846","1,827","1,850","1,853","1,859","1,831"
".Clear Creek County, Colorado","9,088","9,073","9,083","9,011","9,018","9,024","9,124","9,244","9,353","9,574","9,604","9,700"
".Conejos County, Colorado","8,256","8,256","8,312","8,290","8,248","8,199","8,230","8,065","8,050","8,139","8,181","8,205"
".Costilla County, Colorado","3,524","3,524","3,529","3,641","3,603","3,541","3,561","3,576","3,693","3,756","3,812","3,887"
".Crowley County, Colorado","5,823","5,823","5,861","5,882","5,467","5,346","5,609","5,628","5,285","5,840","5,957","6,061"
".Custer County, Colorado","4,255","4,251","4,279","4,225","4,219","4,261","4,340","4,434","4,588","4,857","4,934","5,068"
".Delta County, Colorado","30,952","30,953","30,860","30,393","30,465","30,338","29,963","29,913","30,346","30,519","30,884","31,162"
".Denver County, Colorado","600,158","599,825","603,359","620,530","635,163","649,391","664,582","683,285","696,159","704,961","716,265","727,211"
".Dolores County, Colorado","2,064","2,064","2,069","2,044","2,009","2,033","1,977","1,981","2,056","2,045","2,060","2,055"
".Douglas County, Colorado","285,465","285,465","286,977","292,548","298,708","306,234","314,545","322,025","328,219","335,816","342,989","351,154"
".Eagle County, Colorado","52,197","52,201","52,099","52,051","52,334","52,816","53,276","53,865","54,541","54,929","54,943","55,127"
".Elbert County, Colorado","23,086","23,088","23,142","23,178","23,274","23,541","24,031","24,630","25,157","25,765","26,303","26,729"
".El Paso County, Colorado","622,263","622,253","627,031","637,305","646,003","655,209","663,129","674,001","688,277","700,099","712,089","720,403"
".Fremont County, Colorado","46,824","46,828","46,837","47,379","47,052","46,332","46,147","46,282","46,976","47,548","47,959","47,839"
".Garfield County, Colorado","56,389","56,373","56,072","56,048","56,761","56,938","57,161","57,698","58,785","59,032","59,701","60,061"
".Gilpin County, Colorado","5,441","5,449","5,471","5,428","5,431","5,530","5,747","5,805","5,914","6,018","6,112","6,243"
".Grand County, Colorado","14,843","14,843","14,796","14,563","14,221","14,312","14,559","14,726","15,179","15,364","15,511","15,734"
".Gunnison County, Colorado","15,324","15,324","15,291","15,261","15,378","15,575","15,765","16,104","16,414","16,863","17,167","17,462"
".Hinsdale County, Colorado",843,843,844,825,802,804,773,764,788,791,808,820
".Huerfano County, Colorado","6,711","6,711","6,681","6,528","6,565","6,460","6,393","6,404","6,580","6,628","6,887","6,897"
".Jackson County, Colorado","1,394","1,393","1,389","1,357","1,325","1,336","1,385","1,353","1,358","1,375","1,395","1,392"
