county,dem_gov_2014_%,rep_gov_2014_%,dem_house_2012_%,rep_house_2012_%,dem_house_2014_%,rep_house_2014_%,dem_house_2016_%,rep_house_2016_%,dem_pres_2012_%,rep_pres_2012_%,dem_pres_2016_%,rep_pres_2016_%,dem_senate_2014_%,rep_senate_2014_%,dem_senate_2016_%,rep_senate_2016_%,label_3
Adams,0.501125523,0.444167956,0.52688565,0.401861337,0.511629902,0.470264412,0.514573896,0.426279802,0.571122964,0.402723713,0.498551712,0.413482241,0.476950993,0.448760843,0.526508681,0.412360267,DEM
Alamosa,0.509386491,0.433133346,0.486207428,0.458622284,0.425093265,0.515413312,0.495194377,0.462774351,0.567535369,0.402829486,0.459576308,0.438968151,0.474154683,0.456665371,0.529977051,0.415088927,DEM
Arapahoe,0.52007825,0.439367751,0.485311466,0.449999638,0.455291412,0.490463166,0.457761318,0.478489112,0.539041595,0.439863265,0.527589689,0.386252343,0.480200943,0.464848398,0.540040018,0.409837371,DEM
Archuleta,0.394250137,0.555209669,0.339207735,0.595601996,0.297931805,0.634432644,0.35694091,0.597823014,0.397831898,0.574992575,0.340645865,0.581005587,0.372272144,0.569044563,0.379205736,0.561500276,Swing
Baca,0.217577706,0.725616292,0.247858942,0.698236776,0.178631052,0.754590985,0.142857143,0.815436242,0.221747388,0.740265907,0.131444496,0.814212726,0.189887036,0.739107047,0.269878391,0.687090739,REP
Bent,0.346835443,0.593037975,0.376141859,0.572272972,0.311182109,0.622364217,0.33227345,0.641759406,0.419670443,0.553553038,0.306175402,0.616502335,0.321405751,0.606389776,0.422314911,0.539103233,Swing
Boulder,0.681186512,0.260073363,0.689809183,0.257771135,0.685239049,0.296475844,0.694179251,0.25832142,0.696889676,0.278447234,0.703361769,0.220021792,0.685858025,0.273543609,0.679872995,0.246232914,DEM
Broomfield,0.510684535,0.443317639,0.511826191,0.436700666,0.504130687,0.495869313,0.52892003,0.410480467,0.517619062,0.457882051,0.523507562,0.381188644,0.482018036,0.46477853,0.53065516,0.411748641,DEM
Chaffee,0.471398186,0.482032912,0,0.586236652,0.461394478,0.538605522,0.413242847,0.530997799,0.486140317,0.484610973,0.434488889,0.4792,0.452145585,0.49348461,0.467010035,0.478110292,Swing
Cheyenne,0.159112825,0.784956606,0.130797774,0.8283859,0.09970385,0.839091807,0.117920149,0.848653668,0.15736505,0.813357731,0.119782214,0.83938294,0.117533719,0.816955684,0.201834862,0.759633028,REP
Clear Creek,0.524348569,0.420119607,0.508360596,0.411123228,0.513091309,0.486908691,0.489565217,0.424521739,0.543095943,0.423123803,0.465223321,0.438970338,0.504086022,0.427311828,0.490723404,0.432510638,DEM
Conejos,0.494134478,0.46981402,0.476992708,0.492833794,0.450517837,0.51438435,0.501110289,0.470762398,0.539624482,0.447451841,0.440328195,0.475882645,0.467821068,0.478787879,0.511094675,0.463017751,DEM
Costilla,0.663143058,0.282593376,0.64994233,0.283737024,0.649749821,0.300214439,0.655438984,0.296521259,0.729450191,0.242787153,0.608766234,0.318181818,0.650963597,0.282655246,0.650575974,0.300054855,DEM
Crowley,0.251308901,0.66118175,0.302904564,0.637621024,0.247352496,0.682299546,0.231845436,0.715522985,0.356191744,0.61517976,0.222003929,0.706614276,0.256716418,0.655223881,0.33201581,0.616600791,REP
Custer,0.30333069,0.656621729,0.280602637,0.672316384,0.252403846,0.703125,0.256149557,0.699245654,0.319705341,0.658563536,0.259947815,0.67221135,0.294117647,0.659379968,0.308496732,0.648366013,REP
Delta,0.292994577,0.653814724,0.25838541,0.685499299,0.219386228,0.717140719,0.28210163,0.670296323,0.290235479,0.685400314,0.243418702,0.694163192,0.260714286,0.684449405,0.293299922,0.654495555,REP
Denver,0.742677328,0.216639007,0.728928062,0.221959501,0.709883961,0.239762867,0.725776965,0.230209193,0.735904592,0.242334949,0.736927908,0.188909514,0.707324025,0.245252707,0.729542031,0.217169325,DEM
Dolores,0.288362513,0.653964985,0.259197324,0.674749164,0.213914849,0.703011423,0.311783961,0.641571195,0.268273092,0.689959839,0.192828685,0.752191235,0.254658385,0.675983437,0.280497925,0.670539419,REP
Douglas,0.37765765,0.591275527,0.33007463,0.62253493,0.297353499,0.653388687,0.306882494,0.643606774,0.363473025,0.621100164,0.366170667,0.547056,0.327721702,0.628594649,0.375595545,0.579019658,Swing
Eagle,0.589117444,0.370547001,0.503743114,0.423325015,0.47283787,0.478800289,0.558521138,0.391388386,0.564319746,0.415166755,0.558973952,0.356420727,0.544071021,0.409407967,0.552278496,0.353438898,DEM
El Paso,0.336487068,0.610589877,0,0.644992859,0.40420136,0.59579864,0.311851938,0.617837121,0.38535022,0.589134143,0.33862331,0.561899626,0.320870991,0.620085556,0.359075395,0.580037825,Swing
Elbert,0.22384954,0.728211285,0.237007003,0.706671581,0.175458622,0.751243375,0.17912906,0.77534752,0.254126111,0.72407956,0.19612015,0.732478098,0.205152902,0.733365439,0.231508829,0.726324389,REP
Fremont,0.286220518,0.646043918,0,0.720754117,0.380673674,0.619326326,0.244403244,0.695249131,0.328369906,0.645278213,0.241068584,0.688208256,0.277161605,0.643690843,0.303862622,0.64471167,REP
Garfield,0.456328722,0.494683048,0.418891258,0.527334755,0.362751801,0.576868458,0.457901949,0.501903167,0.463167814,0.513561127,0.425802796,0.496108802,0.434357036,0.512403542,0.459486279,0.48074501,Swing
Gilpin,0.497411115,0.413531239,0.529723,0.376906318,0.541459957,0.458540043,0.504050926,0.408564815,0.566806471,0.40323547,0.456935123,0.437919463,0.504347826,0.406608696,0.482826026,0.419715163,DEM
Grand,0.441520468,0.515350877,0.421291494,0.517505187,0.418291761,0.581708239,0.408244201,0.517966591,0.449981678,0.519482106,0.391010713,0.523288309,0.411089866,0.535078688,0.422951202,0.513892132,Swing
Gunnison,0.570934256,0.369377163,0.50799508,0.416605166,0.46936625,0.457474033,0.608180265,0.349957283,0.581977616,0.385485174,0.544836379,0.349447514,0.553872782,0.385258907,0.587414821,0.34241908,DEM
