State,2018,Rank
,rate,
United States,3.9,
,,
Alabama,3.9,27
Alaska,6.5,5
Arizona,4.7,45
Arkansas,3.6,22
California,4.3,39
Colorado,3.2,13
Connecticut,4.1,33
Delaware,3.8,25
District of Columbia,5.7,50
Florida,3.6,22
Georgia,3.9,27
Hawaii,2.5,1
Idaho,2.9,6
Illinois,4.3,39
Indiana,3.5,19
Iowa,2.6,3
Kansas,3.3,16
Kentucky,4.3,39
Louisiana,4.9,47
Maine,3.2,13
Maryland,3.9,27
Massachusetts,3.4,17
Michigan,4.1,33
Minnesota,2.9,6
Mississippi,4.8,46
Missouri,3.2,13
Montana,3.6,22
Nebraska,2.9,6
Nevada,4.4,42
New Hampshire,2.6,3
New Jersey,4.1,33
New Mexico,4.9,47
New York,4.1,33
North Carolina,4,31
North Dakota,2.6,3
Ohio,4.5,43
Oklahoma,3.4,17
Oregon,4.1,33
Pennsylvania,4.2,38
Rhode Island,4,31
South Carolina,3.5,19
South Dakota,3.1,12
Tennessee,3.5,19
Texas,3.8,25
Utah,3,9
Vermont,2.5,1
Virginia,3,9
Washington,4.5,43
West Virginia,5.2,49
Wisconsin,3,9
Wyoming,3.9,27
